Plate,Individual,Genotype,Temperature,Laterals,Cell_Length,Root_Growth,Cell_Production
1,1,axr1-12,15C,1,0.125,6.06581225,48.526498
1,2,axr1-12,15C,0,0.123,3.842152269,31.23701031
1,3,axr1-12,15C,2,0.116,6.06581225,52.29148492
1,4,axr1-12,15C,2,0.135,7.043147615,52.17146382
1,5,axr1-12,15C,1,0.114,7.50333545,65.81873202
1,6,axr1-12,15C,2,0.129,7.047285911,54.63012334
1,7,axr1-12,15C,4,0.114,9.036318449,79.26595131
1,8,axr1-12,15C,2,0.114,8.034804275,70.48073925
1,9,axr1-12,15C,1,0.131,9.045432,69.04909924
1,10,axr1-12,15C,0,0.134,6.441095267,48.06787513
2,1,axr1-12,15C,2,0.121,7.79166775,64.39394834
2,2,axr1-12,15C,4,0.11,6.428819872,58.44381702
2,3,axr1-12,15C,3,0.1,7.592843542,75.92843542
2,4,axr1-12,15C,1,0.111,9.557976256,86.1078942
2,5,axr1-12,15C,0,0.108,7.134562113,66.06076031
2,6,axr1-12,15C,5,0.139,9.904384195,71.25456256
2,8,axr1-12,15C,1,0.103,6.072135939,58.95277611
2,9,axr1-12,15C,0,0.104,3.830899823,36.83557522
2,10,axr1-12,15C,1,0.098,6.718872586,68.55992435
3,1,axr1-12,15C,2,0.116,8.444681588,72.79897921
3,2,axr1-12,15C,0,0.098,5.104983573,52.09166911
3,3,axr1-12,15C,0,0.097,5.581678095,57.54307314
3,5,axr1-12,15C,2,0.11,9.109412849,82.81284408
3,6,axr1-12,15C,4,0.11,8.726504208,79.33185643
3,8,axr1-12,15C,1,0.102,8.090601527,79.31962281
3,9,axr1-12,15C,1,0.111,7.118566901,64.13123334
3,10,axr1-12,15C,0,0.11,5.12149026,46.55900236
1,1,axr1-12,25C,4,0.223,23.50484526,105.4028935
1,2,axr1-12,25C,9,0.222,18.90826798,85.17237828
1,3,axr1-12,25C,14,0.237,27.52113713,116.1229415
1,4,axr1-12,25C,5,0.217,22.88336757,105.4533068
1,5,axr1-12,25C,10,0.228,10.60911753,46.53121726
1,6,axr1-12,25C,10,0.233,17.29221565,74.21551781
1,7,axr1-12,25C,2,0.205,12.99594768,63.39486673
1,8,axr1-12,25C,11,0.216,18.49270791,85.61438847
2,1,axr1-12,25C,18,0.174,21.22314309,121.9720867
2,2,axr1-12,25C,17,0.205,18.73131643,91.37227526
2,3,axr1-12,25C,19,0.192,18.85086171,98.18157138
2,4,axr1-12,25C,11,0.186,21.48471411,115.5092157
2,8,axr1-12,25C,6,0.175,6.490940476,37.09108844
3,1,axr1-12,25C,9,0.169,9.332244257,55.22038022
3,2,axr1-12,25C,7,0.163,19.2555102,118.1319644
3,3,axr1-12,25C,12,0.163,20.80951117,127.6657127
3,4,axr1-12,25C,13,0.192,18.98210735,98.86514242
3,5,axr1-12,25C,19,0.185,19.80214062,107.038598
3,11,axr1-12,25C,3,0.209,13.41400558,64.18184488
1,1,ahk3-3,15C,4,0.108,3.5028,32.43333333
1,2,ahk3-3,15C,5,0.118,5.18256,43.92
1,3,ahk3-3,15C,2,0.098,3.89008,39.69469388
1,4,ahk3-3,15C,9,0.127,6.59304,51.91370079
1,5,ahk3-3,15C,7,0.106,5.85232,55.21056604
1,6,ahk3-3,15C,3,0.121,4.77576,39.46909091
2,2,ahk3-3,15C,11,0.119,6.32424,53.14487395
2,3,ahk3-3,15C,9,0.153,5.3666,35.07581699
2,4,ahk3-3,15C,2,0.102,3.74976,36.76235294
2,5,ahk3-3,15C,8,0.129,5.88036,45.58418605
3,1,ahk3-3,15C,1,0.108,2.6672,24.6962963
3,2,ahk3-3,15C,3,0.1188,4.2194,35.51683502
3,3,ahk3-3,15C,1,0.099,3.48008,35.15232323
3,4,ahk3-3,15C,6,0.132,5.94796,45.06030303
1,1,ahk3-3,25C,21,0.109,15.46585946,141.8886189
1,2,ahk3-3,25C,12,0.105,13.82197622,131.6378687
1,3,ahk3-3,25C,13,0.102,13.19636757,129.3761526
1,4,ahk3-3,25C,14,0.094,15.09789405,160.6158942
1,5,ahk3-3,25C,11,0.108,12.51611676,115.88997
1,6,ahk3-3,25C,14,0.105,8.119057297,77.32435521
1,7,ahk3-3,25C,12,0.112,14.54545297,129.8701158
2,1,ahk3-3,25C,13,0.117,11.73607784,100.3083576
2,2,ahk3-3,25C,11,0.091,15.80544,173.6861538
2,3,ahk3-3,25C,13,0.11,5.543455135,50.39504668
2,4,ahk3-3,25C,21,0.101,13.35199135,132.1979342
2,5,ahk3-3,25C,16,0.104,11.43235459,109.9264865
3,1,ahk3-3,25C,16,0.112,12.48985946,111.5166023
3,2,ahk3-3,25C,17,0.105,12.80717838,121.9731274
3,3,ahk3-3,25C,16,0.094,13.90749405,147.9520644
3,4,ahk3-3,25C,16,0.098,14.21837838,145.0854937
1,1,arr1-1/12-1,15C,3,0.115,6.8026437,59.15342348
1,2,arr1-1/12-1,15C,15,0.142,9.1284246,64.28468028
1,3,arr1-1/12-1,15C,13,0.108,9.3955914,86.99621667
1,4,arr1-1/12-1,15C,17,0.102,11.061873,108.4497353
1,5,arr1-1/12-1,15C,1,0.09,4.3579575,48.42175
1,6,arr1-1/12-1,15C,3,0.095,6.3219042,66.54636
2,1,arr1-1/12-1,15C,1,0.08,4.5386631,56.73328875
2,2,arr1-1/12-1,15C,0,0.087,4.3497936,49.99762759
2,3,arr1-1/12-1,15C,3,0.084,6.0237315,71.71108929
3,1,arr1-1/12-1,15C,7,0.097,7.3854531,76.13869175
3,2,arr1-1/12-1,15C,4,0.094,6.8790375,73.18125
3,3,arr1-1/12-1,15C,1,0.087,5.7849057,66.49316897
3,4,arr1-1/12-1,15C,6,0.09,7.2758115,80.84235
3,5,arr1-1/12-1,15C,0,0.101,6.3974097,63.3406901
3,6,arr1-1/12-1,15C,5,0.103,6.897015,66.96131068
1,1,arr1-1/12-1,25C,21,0.133,16.70011683,125.5647882
1,2,arr1-1/12-1,25C,19,0.116,15.42392811,132.9648975
1,3,arr1-1/12-1,25C,27,0.14,17.53624652,125.2589037
1,4,arr1-1/12-1,25C,18,0.137,16.31657975,119.0991223
2,1,arr1-1/12-1,25C,13,0.121,14.59750044,120.6404995
2,2,arr1-1/12-1,25C,17,0.135,16.49674757,122.1981302
2,3,arr1-1/12-1,25C,13,0.123,12.66864239,102.9970926
2,4,arr1-1/12-1,25C,16,0.129,12.35958258,95.81071769
3,1,arr1-1/12-1,25C,31,0.128,16.63920483,129.9937877
3,2,arr1-1/12-1,25C,19,0.137,16.49786704,120.4223871
3,3,arr1-1/12-1,25C,12,0.107,13.74800303,128.4860096
3,4,arr1-1/12-1,25C,16,0.139,13.5263931,97.31218056
3,5,arr1-1/12-1,25C,16,0.122,14.14302009,115.9263942
3,6,arr1-1/12-1,25C,16,0.13,14.99093708,115.3149006
3,7,arr1-1/12-1,25C,19,0.133,13.62172312,102.4189708
3,8,arr1-1/12-1,25C,18,0.159,8.429057436,53.01293985
1,1,er-105,15C,10,0.119286,6.664434887,55.8693802
1,2,er-105,15C,9,0.125208,7.012560209,56.00728555
1,3,er-105,15C,13,0.10998,8.066337809,73.34367893
1,4,er-105,15C,9,0.113364,7.771929809,68.55730045
1,5,er-105,15C,12,0.116748,8.51704247,72.95236295
1,6,er-105,15C,3,0.111672,6.336922539,56.7458498
1,7,er-105,15C,3,0.111672,4.736349391,42.41304348
1,8,er-105,15C,6,0.12267,5.976923791,48.7235982
2,1,er-105,15C,17,0.128592,8.432957426,65.5791762
2,2,er-105,15C,10,0.123516,7.652533461,61.95580703
2,3,er-105,15C,11,0.127746,7.616648348,59.62338036
2,4,er-105,15C,13,0.142128,8.422673009,59.26118012
2,5,er-105,15C,18,0.131976,8.867992696,67.19397993
2,6,er-105,15C,11,0.107442,7.380327443,68.69127011
2,7,er-105,15C,6,0.113364,6.990932035,61.66800779
2,9,er-105,15C,13,0.117594,8.159206539,69.38454801
2,10,er-105,15C,6,0.124362,6.916248626,55.61384206
1,1,er-105,25C,16,0.138333333,16.60959815,120.0693842
1,2,er-105,25C,14,0.14,13.97004253,99.78601805
1,6,er-105,25C,21,0.144166667,16.24637027,112.6915857
1,7,er-105,25C,17,0.14,13.87789086,99.12779188
1,8,er-105,25C,26,0.14,13.59812312,97.12945083
2,1,er-105,25C,17,0.148333333,16.93994779,114.2018952
2,2,er-105,25C,7,0.14,14.61727705,104.4091218
2,3,er-105,25C,22,0.121666667,11.37109491,93.46105402
2,4,er-105,25C,13,0.13,6.394833853,49.19102964
2,5,er-105,25C,22,0.134166667,12.84391857,95.73107008
2,6,er-105,25C,19,0.149166667,15.95694922,106.9739613
2,7,er-105,25C,17,0.139166667,14.36682543,103.2346738
2,8,er-105,25C,12,0.1325,13.39486939,101.0933539
3,1,er-105,25C,18,0.111666667,15.44810248,138.3412163
3,2,er-105,25C,10,0.116666667,14.61164893,125.2427051
3,3,er-105,25C,11,0.1325,14.79424244,111.6546599
3,4,er-105,25C,14,0.120833333,15.30843234,126.6904745
3,5,er-105,25C,17,0.12,16.00542947,133.3785789
3,6,er-105,25C,20,0.13,16.10409979,123.8776907
3,7,er-105,25C,13,0.128333333,14.60370543,113.7951073
1,1,pif4,15C,10,0.116,7.008266613,60.41609149
1,2,pif4,15C,12,0.12,7.859717597,65.49764664
1,3,pif4,15C,10,0.1288,7.143778175,55.46411626
1,4,pif4,15C,15,0.128,8.462487697,66.11318514
1,5,pif4,15C,9,0.1136,6.956855944,61.23992909
1,6,pif4,15C,11,0.128,6.985924374,54.57753417
1,7,pif4,15C,12,0.1232,6.961935864,56.50921968
1,8,pif4,15C,13,0.1256,8.390334023,66.80202248
1,9,pif4,15C,12,0.1464,7.65435714,52.28386024
2,1,pif4,15C,13,0.136,6.486351901,47.69376398
2,2,pif4,15C,13,0.1336,6.563209205,49.1258174
2,3,pif4,15C,11,0.1528,6.446182907,42.18706091
2,4,pif4,15C,12,0.1312,7.129008778,54.33695715
2,5,pif4,15C,11,0.1256,5.98320467,47.63697986
2,6,pif4,15C,9,0.1328,5.580997325,42.02558227
3,1,pif4,15C,12,0.128,6.768381517,52.8779806
3,2,pif4,15C,6,0.124,6.30248703,50.82650831
3,3,pif4,15C,6,0.116,5.713404491,49.25348699
3,4,pif4,15C,9,0.1496,6.956385581,46.49990362
3,5,pif4,15C,7,0.1536,6.600697131,42.97328861
3,6,pif4,15C,10,0.1256,6.850742066,54.54412473
3,7,pif4,15C,3,0.12,5.691908905,47.43257421
3,8,pif4,15C,8,0.1384,6.747121112,48.75087509
3,9,pif4,15C,12,0.148,7.200080618,48.64919336
3,10,pif4,15C,9,0.1488,6.628730761,44.54792178
3,11,pif4,15C,6,0.1392,4.033879561,28.97901984
1,1,pif4,25C,22,0.2,18.19574417,90.97872085
1,2,pif4,25C,20,0.1968,17.72371906,90.05954809
1,3,pif4,25C,16,0.2312,16.50123238,71.37211238
1,4,pif4,25C,21,0.2072,18.22602859,87.96345843
