Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
35S::PIF4,15,1,1,0.02,0.21,1,2.33,1.33,0.23,23,,
35S::PIF4,15,1,2,0.009,0.275,0.763,2.07,1.307,0.284,28.4,,
35S::PIF4,15,1,3,0.005,0.348,0.785,2.04,1.255,0.353,35.3,,
35S::PIF4,15,1,4,0.008,0.255,0.795,1.76,0.965,0.263,26.3,,
35S::PIF4,15,2,1,0.025,0.21,0.78,2.05,1.27,0.235,23.5,,
35S::PIF4,15,2,2,0.015,0.236,0.85,1.98,1.13,0.251,25.1,,
35S::PIF4,15,2,3,0.008,0.267,0.7,1.94,1.24,0.275,27.5,,
35S::PIF4,15,2,4,0.01,0.27,0.71,2.03,1.32,0.28,28,,
35S::PIF4,15,3,1,0.007,0.254,0.8,2.36,1.56,0.261,26.1,,
35S::PIF4,15,3,2,0.01,0.235,0.82,2.2,1.38,0.245,24.5,,
35S::PIF4,15,3,3,0.01,0.27,0.74,2.37,1.63,0.28,28,,
35S::PIF4,15,3,4,0.013,0.318,0.745,1.84,1.095,0.331,33.1,0.790666667,
ahk3-3,15,1,1,0.02,0.25,0.83,2.22,1.39,0.27,27,,
ahk3-3,15,1,2,0.021,0.268,0.844,2.175,1.331,0.289,28.9,,
ahk3-3,15,1,3,0.02,0.25,0.83,2.22,1.39,0.27,27,,
ahk3-3,15,1,4,0.033,0.315,0.73,1.94,1.21,0.348,34.8,,
ahk3-3,15,2,1,0.005,0.255,0.945,2.27,1.325,0.26,26,,
ahk3-3,15,2,2,0.03,0.286,0.81,1.6,0.79,0.316,31.6,,
ahk3-3,15,2,3,0.01,0.3,0.95,2.07,1.12,0.31,31,,
ahk3-3,15,2,4,0.01,0.261,0.68,1.5,0.82,0.271,27.1,,
ahk3-3,15,3,1,0.022,0.28,0.99,2.37,1.38,0.302,30.2,,
ahk3-3,15,3,2,0.01,0.22,0.95,2.35,1.4,0.23,23,,
ahk3-3,15,3,3,0.035,0.262,0.775,2.16,1.385,0.297,29.7,,
ahk3-3,15,3,4,0.022,0.27,0.845,2.11,1.265,0.292,29.2,0.847416667,
arr12-1/1-1,15,1,1,0.023,0.25,0.86,2.3,1.44,0.273,27.3,,
arr12-1/1-1,15,1,2,0.041,0.295,0.87,2.22,1.35,0.336,33.6,,
arr12-1/1-1,15,1,3,0.02,0.33,0.7,1.73,1.03,0.35,35,,
arr12-1/1-1,15,1,4,0.01,0.35,0.73,1.64,0.91,0.36,36,,
arr12-1/1-1,15,2,1,0.01,0.285,0.701,2.27,1.569,0.295,29.5,,
arr12-1/1-1,15,2,2,0.01,0.285,0.97,2.2,1.23,0.295,29.5,,
arr12-1/1-1,15,2,3,0.01,0.29,0.95,2.07,1.12,0.3,30,,
arr12-1/1-1,15,2,4,0.006,0.257,0.82,2.29,1.47,0.263,26.3,,
arr12-1/1-1,15,3,1,0.01,0.28,0.89,2.43,1.54,0.29,29,,
arr12-1/1-1,15,3,2,0.01,0.341,0.79,1.99,1.2,0.351,35.1,,
arr12-1/1-1,15,3,3,0.01,0.275,0.68,2.26,1.58,0.285,28.5,,
arr12-1/1-1,15,3,4,0.01,0.305,0.72,2.28,1.56,0.315,31.5,0.80675,
bzr1-1D,15,1,1,0.01,0.245,0.95,2.34,1.39,0.255,25.5,,
bzr1-1D,15,1,2,0.045,0.255,0.89,2.1,1.21,0.3,30,,
bzr1-1D,15,1,3,0.019,0.31,0.79,1.86,1.07,0.329,32.9,,
bzr1-1D,15,1,4,0.02,0.316,0.85,1.84,0.99,0.336,33.6,,
bzr1-1D,15,2,1,0.025,0.233,0.825,2.11,1.285,0.258,25.8,,
bzr1-1D,15,2,2,0.01,0.242,0.82,2.27,1.45,0.252,25.2,,
bzr1-1D,15,2,3,0.0205,0.252,0.83,2.08,1.25,0.2725,27.25,,
bzr1-1D,15,2,4,0.01,0.302,0.77,2.44,1.67,0.312,31.2,,
bzr1-1D,15,3,1,0.005,0.29,0.96,2.28,1.32,0.295,29.5,,
bzr1-1D,15,3,2,0.005,0.253,0.9,2.2,1.3,0.258,25.8,,
bzr1-1D,15,3,3,0.01,0.27,0.71,2.39,1.68,0.28,28,,
bzr1-1D,15,3,4,0.017,0.304,0.91,2.21,1.3,0.321,32.1,0.850416667,
Columbia,15,1,1,0.004,0.273,0.94,2.33,1.39,0.277,27.7,,
Columbia,15,1,2,0.01,0.265,1,2.34,1.34,0.275,27.5,,
Columbia,15,1,3,0.01,0.26,0.98,2.48,1.5,0.27,27,,
Columbia,15,1,4,0.01,0.27,0.89,2.3,1.41,0.28,28,,
Columbia,15,2,1,0.005,0.236,0.815,2.62,1.805,0.241,24.1,,
Columbia,15,2,2,0.01,0.26,0.92,2.47,1.55,0.27,27,,
Columbia,15,2,3,0.008,0.29,0.75,2.38,1.63,0.298,29.8,,
Columbia,15,2,4,0.005,0.31,0.8,2.37,1.57,0.315,31.5,,
